iter	Passed	Remaining
196	9141	37262
197	9191	37228
198	9239	37190
199	9285	37142
200	9331	37092
201	9377	37044
202	9424	37000
203	9467	36941
204	9510	36880
205	9554	36827
206	9598	36771
207	9648	36737
208	9695	36693
209	9743	36652
210	9788	36600
211	9834	36555
212	9881	36512
213	9925	36456
214	9971	36407
215	10017	36358
216	10064	36314
217	10104	36247
218	10146	36185
219	10197	36155
220	10248	36125
221	10296	36083
222	10339	36024
223	10383	35970
224	10427	35918
225	10477	35882
226	10522	35831
227	10567	35780
228	10614	35737
229	10662	35695
230	10712	35661
231	10753	35597
232	10799	35548
233	10844	35501
234	10891	35456
235	10938	35412
236	10984	35363
237	11031	35319
238	11079	35278
239	11127	35236
240	11174	35191
241	11220	35145
242	11268	35103
243	11313	35052
244	11363	35017
245	11413	34982
246	11461	34940
247	11504	34886
248	11548	34831
249	11591	34775
250	11641	34739
251	11690	34700
252	11736	34652
253	11781	34601
254	11828	34558
255	11875	34513
256	11921	34466
257	11965	34411
258	12010	34360
259	12059	34323
260	12107	34280
261	12154	34235
262	12198	34184
263	12243	34133
264	12290	34088
265	12339	34050
266	12386	34005
267	12430	33951
268	12476	33904
269	12522	33856
270	12565	33801
271	12614	33763
272	12664	33726
273	12711	33681
274	12750	33615
275	12792	33558
276	12838	33510
277	12887	33470
278	12939	33439
279	12983	33387
280	13025	33328
281	13074	33290
282	13125	33253
283	13170	33204
284	13216	33157
285	13265	33117
286	13316	33081
287	13362	33036
288	13412	32998
289	13462	32960
290	13508	32912
291	13558	32874
292	13600	32818
293	13645	32766
294	13688	32712
295	13734	32664
296	13782	32622
297	13827	32572
298	13872	32524
299	13921	32483
300	13966	32433
301	14013	32388
302	14062	32348
303	14106	32295
304	14151	32247
305	14198	32202
306	14244	32153
307	14289	32104
308	14336	32059
309	14381	32010
310	14431	31972
311	14476	31921
312	14522	31874
313	14568	31828
314	14613	31778
315	14658	31728
316	14707	31688
317	14755	31645
318	14801	31597
319	14846	31548
320	14896	31510
321	14942	31462
322	14990	31420
323	15038	31377
324	15081	31323
325	15123	31266
326	15169	31220
327	15216	31174
328	15264	31132
329	15315	31095
330	15359	31043
331	15408	31002
332	15449	30944
333	15496	30900
334	15544	30856
335	15588	30805
336	15632	30755
337	15677	30705
338	15729	30670
339	15777	30627
340	15826	30586
341	15874	30541
342	15919	30492
343	15964	30444
344	16011	30398
345	16056	30350
346	16108	30313
347	16155	30268
348	16200	30219
349	16246	30172
350	16293	30126
351	16337	30075
352	16383	30027
353	16428	29979
354	16472	29929
355	16521	29887
356	16571	29847
357	16620	29805
358	16668	29762
359	16719	29723
360	16763	29672
361	16811	29628
362	16858	29582
363	16904	29537
364	16952	29492
365	16999	29447
366	17045	29400
367	17090	29350
368	17133	29299
369	17180	29252
370	17224	29202
371	17273	29160
372	17320	29115
373	17362	29061
374	17409	29016
375	17455	28968
376	17505	28927
377	17554	28885
378	17601	28840
379	17650	28797
380	17697	28753
381	17746	28710
382	17797	28670
383	17842	28621
384	17889	28577
385	17935	28530
386	17984	28487
387	18029	28438
388	18073	28387
389	18119	28341
390	18168	28297
391	18214	28250
392	18263	28208
393	18309	28161
394	18358	28118
395	18403	28070
396	18448	28021
397	18496	27976
398	18544	27932
399	18592	27888
